Origem,Receita
google cpc,1427903.00
google cpc,1607586.69
google cpc,1772283.62
google cpc,1936528.07
google cpc,2018613.03
google cpc,2072043.36
google cpc,2102529.08
google cpc,2124860.21
google cpc,2138686.42
google cpc,2335576.27
org�nico,1946372.60
direto,1971071.53
retargeting,588317.59
retargeting,588317.59
buscadores,45421.50
buscadores,52373.77
buscadores,141640.01
email,95809.55
email,466273.53
midia,568.35
midia,568.35
midia,568.35
midia,308640.36
midia,325042.79
midia,333027.20
midia,333504.48
midia,336544.61
midia,339369.37
midia,339369.37
afiliados,246620.93
afiliados,458834.31
afiliados,544080.24
afiliados,715509.90
refer�ncia,583134.20
